name,face_name,face,set,collector_number,version,url,local_path,download_status,size_bytes,sha256
Storm Fleet Sprinter,Storm Fleet Sprinter,front,rix,172,small,https://cards.scryfall.io/small/front/4/1/41ad8525-7618-4c2b-8037-46f53dd42ee0.jpg?1783935268,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/rix_172_storm_fleet_sprinter_front_small.jpg,pending_external_download,,
Storm Fleet Sprinter,Storm Fleet Sprinter,front,rix,172,normal,https://cards.scryfall.io/normal/front/4/1/41ad8525-7618-4c2b-8037-46f53dd42ee0.jpg?1783935268,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/rix_172_storm_fleet_sprinter_front_normal.jpg,pending_external_download,,
Wily Goblin,Wily Goblin,front,xln,174,small,https://cards.scryfall.io/small/front/a/1/a175b24c-c256-45a8-b24a-6b83e42d5efa.jpg?1783935732,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/xln_174_wily_goblin_front_small.jpg,pending_external_download,,
Wily Goblin,Wily Goblin,front,xln,174,normal,https://cards.scryfall.io/normal/front/a/1/a175b24c-c256-45a8-b24a-6b83e42d5efa.jpg?1783935732,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/xln_174_wily_goblin_front_normal.jpg,pending_external_download,,
Sol Ring,Sol Ring,front,m3c,305,small,https://cards.scryfall.io/small/front/1/9/19911e6e-7c35-4281-b31c-266382f052cc.jpg?1783911346,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/m3c_305_sol_ring_front_small.jpg,pending_external_download,,
Sol Ring,Sol Ring,front,m3c,305,normal,https://cards.scryfall.io/normal/front/1/9/19911e6e-7c35-4281-b31c-266382f052cc.jpg?1783911346,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/m3c_305_sol_ring_front_normal.jpg,pending_external_download,,
Arcane Signet,Arcane Signet,front,onc,125,small,https://cards.scryfall.io/small/front/e/c/ecedbcca-4d71-46ac-a8e5-a1cf8109f4b7.jpg?1783918109,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/onc_125_arcane_signet_front_small.jpg,pending_external_download,,
Arcane Signet,Arcane Signet,front,onc,125,normal,https://cards.scryfall.io/normal/front/e/c/ecedbcca-4d71-46ac-a8e5-a1cf8109f4b7.jpg?1783918109,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/onc_125_arcane_signet_front_normal.jpg,pending_external_download,,
Izzet Signet,Izzet Signet,front,gpt,152,small,https://cards.scryfall.io/small/front/f/8/f823be95-bef4-4e86-a924-239be62394bf.jpg?1783943458,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/gpt_152_izzet_signet_front_small.jpg,pending_external_download,,
Izzet Signet,Izzet Signet,front,gpt,152,normal,https://cards.scryfall.io/normal/front/f/8/f823be95-bef4-4e86-a924-239be62394bf.jpg?1783943458,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/gpt_152_izzet_signet_front_normal.jpg,pending_external_download,,
Prismatic Lens,Prismatic Lens,front,cmm,403,small,https://cards.scryfall.io/small/front/f/f/ff8768a5-eba6-4585-a59b-19d1036cbfc0.jpg?1783915592,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/cmm_403_prismatic_lens_front_small.jpg,pending_external_download,,
Prismatic Lens,Prismatic Lens,front,cmm,403,normal,https://cards.scryfall.io/normal/front/f/f/ff8768a5-eba6-4585-a59b-19d1036cbfc0.jpg?1783915592,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/cmm_403_prismatic_lens_front_normal.jpg,pending_external_download,,
Fellwar Stone,Fellwar Stone,front,soc,347,small,https://cards.scryfall.io/small/front/3/8/385b9f5e-81dd-49f6-a644-59d53245e3dc.jpg?1783903740,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/soc_347_fellwar_stone_front_small.jpg,pending_external_download,,
Fellwar Stone,Fellwar Stone,front,soc,347,normal,https://cards.scryfall.io/normal/front/3/8/385b9f5e-81dd-49f6-a644-59d53245e3dc.jpg?1783903740,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/soc_347_fellwar_stone_front_normal.jpg,pending_external_download,,
Mind Stone,Mind Stone,front,khc,102,small,https://cards.scryfall.io/small/front/e/c/ecbe852d-4538-41dd-bfce-a134a7bc3022.jpg?1783928298,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/khc_102_mind_stone_front_small.jpg,pending_external_download,,
Mind Stone,Mind Stone,front,khc,102,normal,https://cards.scryfall.io/normal/front/e/c/ecbe852d-4538-41dd-bfce-a134a7bc3022.jpg?1783928298,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/khc_102_mind_stone_front_normal.jpg,pending_external_download,,
Prismari Command,Prismari Command,front,soc,323,small,https://cards.scryfall.io/small/front/3/7/372d0c0b-439c-413f-aac4-5174c75aadb0.jpg?1783903748,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/soc_323_prismari_command_front_small.jpg,pending_external_download,,
Prismari Command,Prismari Command,front,soc,323,normal,https://cards.scryfall.io/normal/front/3/7/372d0c0b-439c-413f-aac4-5174c75aadb0.jpg?1783903748,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/soc_323_prismari_command_front_normal.jpg,pending_external_download,,
Commit // Memory,Commit,front,lcc,147,small,https://cards.scryfall.io/small/front/8/5/855af9a8-31fc-4290-8204-04ee026f8853.jpg?1783913889,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/lcc_147_commit_front_small.jpg,pending_external_download,,
Commit // Memory,Commit,front,lcc,147,normal,https://cards.scryfall.io/normal/front/8/5/855af9a8-31fc-4290-8204-04ee026f8853.jpg?1783913889,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/lcc_147_commit_front_normal.jpg,pending_external_download,,
Commit // Memory,Memory,face_2,lcc,147,small,https://cards.scryfall.io/small/front/8/5/855af9a8-31fc-4290-8204-04ee026f8853.jpg?1783913889,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/lcc_147_memory_face_2_small.jpg,pending_external_download,,
Commit // Memory,Memory,face_2,lcc,147,normal,https://cards.scryfall.io/normal/front/8/5/855af9a8-31fc-4290-8204-04ee026f8853.jpg?1783913889,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/lcc_147_memory_face_2_normal.jpg,pending_external_download,,
Expedite,Expedite,front,bbd,177,small,https://cards.scryfall.io/small/front/4/4/44072f87-3a99-49dd-9709-85aa83d4819f.jpg?1783934812,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/bbd_177_expedite_front_small.jpg,pending_external_download,,
Expedite,Expedite,front,bbd,177,normal,https://cards.scryfall.io/normal/front/4/4/44072f87-3a99-49dd-9709-85aa83d4819f.jpg?1783934812,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/bbd_177_expedite_front_normal.jpg,pending_external_download,,
Opt,Opt,front,fdn,512,small,https://cards.scryfall.io/small/front/5/8/58d26b54-0093-4e90-a2b1-b57c64340f9c.jpg?1783908961,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/fdn_512_opt_front_small.jpg,pending_external_download,,
Opt,Opt,front,fdn,512,normal,https://cards.scryfall.io/normal/front/5/8/58d26b54-0093-4e90-a2b1-b57c64340f9c.jpg?1783908961,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/fdn_512_opt_front_normal.jpg,pending_external_download,,
Sleight of Hand,Sleight of Hand,front,woe,67,small,https://cards.scryfall.io/small/front/8/0/80dea5c0-ada3-488a-9f2b-f895b92c762f.jpg?1783915115,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/woe_67_sleight_of_hand_front_small.jpg,pending_external_download,,
Sleight of Hand,Sleight of Hand,front,woe,67,normal,https://cards.scryfall.io/normal/front/8/0/80dea5c0-ada3-488a-9f2b-f895b92c762f.jpg?1783915115,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/woe_67_sleight_of_hand_front_normal.jpg,pending_external_download,,
Faithless Looting,Faithless Looting,front,ltc,215,small,https://cards.scryfall.io/small/front/5/7/57102ba6-79ab-4487-a62a-926b30682421.jpg?1783915937,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/ltc_215_faithless_looting_front_small.jpg,pending_external_download,,
Faithless Looting,Faithless Looting,front,ltc,215,normal,https://cards.scryfall.io/normal/front/5/7/57102ba6-79ab-4487-a62a-926b30682421.jpg?1783915937,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/ltc_215_faithless_looting_front_normal.jpg,pending_external_download,,
Frantic Search,Frantic Search,front,tdc,153,small,https://cards.scryfall.io/small/front/a/1/a1c71f3e-16be-492a-8a3e-5911867270bd.jpg?1783907106,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/tdc_153_frantic_search_front_small.jpg,pending_external_download,,
Frantic Search,Frantic Search,front,tdc,153,normal,https://cards.scryfall.io/normal/front/a/1/a1c71f3e-16be-492a-8a3e-5911867270bd.jpg?1783907106,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/tdc_153_frantic_search_front_normal.jpg,pending_external_download,,
Impulse,Impulse,front,dmu,55,small,https://cards.scryfall.io/small/front/5/a/5aec2b2c-0764-4869-814d-aad921122af9.jpg?1783921349,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/dmu_55_impulse_front_small.jpg,pending_external_download,,
Impulse,Impulse,front,dmu,55,normal,https://cards.scryfall.io/normal/front/5/a/5aec2b2c-0764-4869-814d-aad921122af9.jpg?1783921349,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/dmu_55_impulse_front_normal.jpg,pending_external_download,,
Chart a Course,Chart a Course,front,plst,XLN-48,small,https://cards.scryfall.io/small/front/9/8/98f091ee-70c5-4878-9b11-43df85e1d5de.jpg?1783932311,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/plst_XLN-48_chart_a_course_front_small.jpg,pending_external_download,,
Chart a Course,Chart a Course,front,plst,XLN-48,normal,https://cards.scryfall.io/normal/front/9/8/98f091ee-70c5-4878-9b11-43df85e1d5de.jpg?1783932311,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/plst_XLN-48_chart_a_course_front_normal.jpg,pending_external_download,,
Fact or Fiction,Fact or Fiction,front,znc,25,small,https://cards.scryfall.io/small/front/d/6/d617970e-e33a-481c-bbae-5ed5197d9a1c.jpg?1783929486,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/znc_25_fact_or_fiction_front_small.jpg,pending_external_download,,
Fact or Fiction,Fact or Fiction,front,znc,25,normal,https://cards.scryfall.io/normal/front/d/6/d617970e-e33a-481c-bbae-5ed5197d9a1c.jpg?1783929486,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/znc_25_fact_or_fiction_front_normal.jpg,pending_external_download,,
Arcane Denial,Arcane Denial,front,drc,70,small,https://cards.scryfall.io/small/front/0/b/0baad613-6c5b-4b5e-a784-b43f2acaf689.jpg?1783907732,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/drc_70_arcane_denial_front_small.jpg,pending_external_download,,
Arcane Denial,Arcane Denial,front,drc,70,normal,https://cards.scryfall.io/normal/front/0/b/0baad613-6c5b-4b5e-a784-b43f2acaf689.jpg?1783907732,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/drc_70_arcane_denial_front_normal.jpg,pending_external_download,,
Negate,Negate,front,bbd,123,small,https://cards.scryfall.io/small/front/f/b/fbd28be5-c493-433a-a19f-cace2214b83e.jpg?1783934833,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/bbd_123_negate_front_small.jpg,pending_external_download,,
Negate,Negate,front,bbd,123,normal,https://cards.scryfall.io/normal/front/f/b/fbd28be5-c493-433a-a19f-cace2214b83e.jpg?1783934833,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/bbd_123_negate_front_normal.jpg,pending_external_download,,
Dispel,Dispel,front,bfz,76,small,https://cards.scryfall.io/small/front/b/c/bceab6b3-6b64-4964-a501-ce806a6c13ad.jpg?1783938209,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/bfz_76_dispel_front_small.jpg,pending_external_download,,
Dispel,Dispel,front,bfz,76,normal,https://cards.scryfall.io/normal/front/b/c/bceab6b3-6b64-4964-a501-ce806a6c13ad.jpg?1783938209,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/bfz_76_dispel_front_normal.jpg,pending_external_download,,
Spell Pierce,Spell Pierce,front,mm3,51,small,https://cards.scryfall.io/small/front/5/3/53d4fd57-74b6-42c7-88b1-110e5a8dfc3c.jpg?1783936664,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/mm3_51_spell_pierce_front_small.jpg,pending_external_download,,
Spell Pierce,Spell Pierce,front,mm3,51,normal,https://cards.scryfall.io/normal/front/5/3/53d4fd57-74b6-42c7-88b1-110e5a8dfc3c.jpg?1783936664,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/mm3_51_spell_pierce_front_normal.jpg,pending_external_download,,
Wash Away,Wash Away,front,vow,87,small,https://cards.scryfall.io/small/front/4/3/43411ade-be80-4535-8baa-7055e78496df.jpg?1783924878,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/vow_87_wash_away_front_small.jpg,pending_external_download,,
Wash Away,Wash Away,front,vow,87,normal,https://cards.scryfall.io/normal/front/4/3/43411ade-be80-4535-8baa-7055e78496df.jpg?1783924878,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/vow_87_wash_away_front_normal.jpg,pending_external_download,,
Change the Equation,Change the Equation,front,mom,50,small,https://cards.scryfall.io/small/front/e/9/e98db9ed-b43f-4bc1-b7a9-ce03a534d992.jpg?1783917042,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/mom_50_change_the_equation_front_small.jpg,pending_external_download,,
Change the Equation,Change the Equation,front,mom,50,normal,https://cards.scryfall.io/normal/front/e/9/e98db9ed-b43f-4bc1-b7a9-ce03a534d992.jpg?1783917042,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/normal/mom_50_change_the_equation_front_normal.jpg,pending_external_download,,
Syncopate,Syncopate,front,rtr,54,small,https://cards.scryfall.io/small/front/b/a/ba6f218f-83b0-4b68-a00f-0327cd79f32a.jpg?1783940365,/mnt/data/malcolm_breeches_card_ingestion/offline_snapshot/images/small/rtr_54_syncopate_front_small.jpg,pending_external_download,,
