card_name,implementation,coverage_status,rules_test_status
Expedite,expedite_haste_draw_v1,declared,pending_pilot_rules_validation
Opt,opt_scry_draw_v1,declared,pending_pilot_rules_validation
Sleight of Hand,sleight_of_hand_selection_v1,declared,pending_pilot_rules_validation
Faithless Looting,faithless_looting_flashback_v1,declared,pending_pilot_rules_validation
Frantic Search,frantic_search_untap_v1,declared,pending_pilot_rules_validation
Impulse,impulse_top_four_v1,declared,pending_pilot_rules_validation
Chart a Course,chart_a_course_raid_v1,declared,pending_pilot_rules_validation
Fact or Fiction,fact_or_fiction_piles_v1,declared,pending_pilot_rules_validation
Arcane Denial,arcane_denial_v1,declared,pending_pilot_rules_validation
Negate,negate_v1,declared,pending_pilot_rules_validation
Dispel,dispel_v1,declared,pending_pilot_rules_validation
Spell Pierce,spell_pierce_v1,declared,pending_pilot_rules_validation
Wash Away,wash_away_cleave_v1,declared,pending_pilot_rules_validation
Change the Equation,change_the_equation_v1,declared,pending_pilot_rules_validation
Syncopate,syncopate_x_exile_v1,declared,pending_pilot_rules_validation
Lazotep Plating,lazotep_plating_hexproof_v1,declared,pending_pilot_rules_validation
Reality Ripple,reality_ripple_phase_v1,declared,pending_pilot_rules_validation
Fading Hope,fading_hope_bounce_scry_v1,declared,pending_pilot_rules_validation
Ravenform,ravenform_foretell_exile_v1,declared,pending_pilot_rules_validation
Reality Shift,reality_shift_manifest_v1,declared,pending_pilot_rules_validation
Resculpt,resculpt_exile_v1,declared,pending_pilot_rules_validation
Abrade,abrade_modes_v1,declared,pending_pilot_rules_validation
Into the Roil,into_the_roil_kicker_v1,declared,pending_pilot_rules_validation
Curse of the Swine,curse_of_the_swine_x_exile_v1,declared,pending_pilot_rules_validation
Vandalblast,vandalblast_overload_v1,declared,pending_pilot_rules_validation
By Force,by_force_x_targets_v1,declared,pending_pilot_rules_validation
Rebuild,rebuild_cycling_bounce_artifacts_v1,implemented,pending_pilot_rules_validation
Brotherhood's End,brotherhoods_end_modes_v1,declared,pending_pilot_rules_validation
Fiery Cannonade,fiery_cannonade_nonpirates_v1,declared,pending_pilot_rules_validation
Aetherize,aetherize_attacking_bounce_v1,declared,pending_pilot_rules_validation
Introduction to Annihilation,introduction_annihilation_v1,declared,pending_pilot_rules_validation
Echoing Truth,echoing_truth_v1,declared,pending_pilot_rules_validation
Soul-Guide Lantern,soul_guide_lantern_v1,declared,pending_pilot_rules_validation
Sentinel Totem,sentinel_totem_v1,declared,pending_pilot_rules_validation
Command Tower,command_tower_v1,declared,pending_pilot_rules_validation
Exotic Orchard,exotic_orchard_opponent_color_v1,declared,pending_pilot_rules_validation
Shivan Reef,shivan_reef_painland_v1,declared,pending_pilot_rules_validation
Cascade Bluffs,cascade_bluffs_filter_land_v1,declared,pending_pilot_rules_validation
Temple of Epiphany,temple_epiphany_tapped_scry_v1,declared,pending_pilot_rules_validation
Izzet Boilerworks,izzet_boilerworks_bounceland_v1,declared,pending_pilot_rules_validation
Frostboil Snarl,frostboil_snarl_reveal_v1,declared,pending_pilot_rules_validation
Thriving Isle,thriving_isle_choose_color_v1,declared,pending_pilot_rules_validation
Ash Barrens,ash_barrens_basic_landcycling_v1,declared,pending_pilot_rules_validation
Evolving Wilds,evolving_wilds_fetch_tapped_v1,declared,pending_pilot_rules_validation
Terramorphic Expanse,terramorphic_expanse_fetch_tapped_v1,declared,pending_pilot_rules_validation
Scavenger Grounds,scavenger_grounds_v1,declared,pending_pilot_rules_validation
Demolition Field,demolition_field_v1,declared,pending_pilot_rules_validation
Path of Ancestry,path_of_ancestry_v1,declared,pending_pilot_rules_validation
Island,basic_island_v1,declared,pending_pilot_rules_validation
Mountain,basic_mountain_v1,declared,pending_pilot_rules_validation
